"scientific.name","count","category"
"Rosa rugosa",457,"pest/invasive"
"Solanum dulcamara",98,"pest/invasive"
"Frangula alnus",96,"pest/invasive"
"Lupinus polyphyllus",67,"pest/invasive"
"Euproctis chrysorrhoea",31,"pest/invasive"
"Verbascum thapsus",25,"pest/invasive"
"Tussilago farfara",23,"pest/invasive"
"Cirsium arvense",8,"pest/invasive"
"Celastrus orbiculatus",7,"pest/invasive"
"Acer platanoides",5,"pest/invasive"
"Cirsium vulgare",5,"pest/invasive"
"Berberis thunbergii",3,"pest/invasive"
"Lythrum salicaria",3,"pest/invasive"
"Rosa multiflora",2,"pest/invasive"
"Alliaria petiolata",1,"pest/invasive"
"Cardamine impatiens",1,"pest/invasive"
"Centaurea stoebe",1,"pest/invasive"
"Digitalis purpurea",1,"pest/invasive"
"Lonicera periclymenum",1,"pest/invasive"
"Lonicera villosa",1,"pest/invasive"
"Phragmites australis",1,"pest/invasive"
"Populus alba",1,"pest/invasive"
"Rhamnus cathartica",1,"pest/invasive"
"Typha angustifolia",1,"pest/invasive"
"Falco peregrinus",1834,"threatened/endangered"
"Histrionicus histrionicus",631,"threatened/endangered"
"Alca torda",488,"threatened/endangered"
"Fratercula arctica",154,"threatened/endangered"
"Sterna paradisaea",50,"threatened/endangered"
"Bucephala islandica",47,"threatened/endangered"
"Nycticorax nycticorax",29,"threatened/endangered"
"Calidris canutus",11,"threatened/endangered"
"Chlidonias niger",8,"threatened/endangered"
"Asio flammeus",6,"threatened/endangered"
"Bartramia longicauda",6,"threatened/endangered"
"Aquila chrysaetos",2,"threatened/endangered"
"Myotis lucifugus",2,"threatened/endangered"
"Sterna dougallii",2,"threatened/endangered"
"Cistothorus stellaris",1,"threatened/endangered"
"Myotis leibii",1,"threatened/endangered"
"Danaus plexippus",163,"rare native"
"Lotus corniculatus",107,"rare native"
"Cypripedium acaule",77,"rare native"
"Securigera varia",77,"rare native"
"Rhodiola rosea",71,"rare native"
"Symplocarpus foetidus",69,"rare native"
"Asclepias syriaca",64,"rare native"
"Epigaea repens",54,"rare native"
"Lilium philadelphicum",29,"rare native"
"Rhexia virginica",27,"rare native"
"Monotropa hypopitys",25,"rare native"
"Medeola virginiana",21,"rare native"
"Arisaema triphyllum",20,"rare native"
"Toxicodendron radicans",20,"rare native"
"Epipactis helleborine",19,"rare native"
"Lysimachia maritima",18,"rare native"
"Calluna vulgaris",17,"rare native"
"Verbena hastata",14,"rare native"
"Euthamia graminifolia",13,"rare native"
"Lonicera canadensis",13,"rare native"
"Chelone glabra",10,"rare native"
"Corema conradii",10,"rare native"
"Pinus resinosa",10,"rare native"
"Trillium undulatum",10,"rare native"
"Bombus terricola",9,"rare native"
"Capnoides sempervirens",9,"rare native"
"Platanthera clavellata",9,"rare native"
"Solidago flexicaulis",9,"rare native"
"Dasiphora fruticosa",7,"rare native"
"Trichophorum cespitosum",6,"rare native"
"Galeopsis bifida",5,"rare native"
"Maianthemum racemosum",5,"rare native"
"Mertensia maritima",5,"rare native"
"Spinulum annotinum",5,"rare native"
"Teucrium canadense",5,"rare native"
"Trifolium hybridum",5,"rare native"
"Typha latifolia",5,"rare native"
"Uvularia sessilifolia",5,"rare native"
"Caltha palustris",4,"rare native"
"Epilobium ciliatum",4,"rare native"
"Polygonatum pubescens",4,"rare native"
"Toxicodendron rydbergii",4,"rare native"
"Viburnum dentatum",4,"rare native"
"Actaea pachypoda",3,"rare native"
"Bartonia virginica",3,"rare native"
"Spergularia marina",3,"rare native"
"Agalinis purpurea",2,"rare native"
"Andropogon gerardi",2,"rare native"
"Asplenium trichomanes",2,"rare native"
"Cornus rugosa",2,"rare native"
"Goodyera pubescens",2,"rare native"
"Huperzia appressa",2,"rare native"
"Hypericum prolificum",2,"rare native"
"Polygala sanguinea",2,"rare native"
"Polypodium appalachianum",2,"rare native"
"Achillea ptarmica",1,"rare native"
"Actaea rubra",1,"rare native"
"Amphicarpaea bracteata",1,"rare native"
"Carex wiegandii",1,"rare native"
"Cicuta maculata",1,"rare native"
"Cuscuta gronovii",1,"rare native"
"Epilobium coloratum",1,"rare native"
"Euphorbia cyparissias",1,"rare native"
"Eutrochium maculatum",1,"rare native"
"Genista tinctoria",1,"rare native"
"Jacobaea vulgaris",1,"rare native"
"Potentilla recta",1,"rare native"
"Rubus chamaemorus",1,"rare native"
"Rubus dalibarda",1,"rare native"
"Spergularia rubra",1,"rare native"
"Taxus canadensis",1,"rare native"
"Viburnum recognitum",1,"rare native"
"Xyris difformis",1,"rare native"
